id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,WB1,WB2[SQ001],WB2[SQ002],WB3[SQ001],WB3[SQ002],WB4[SQ001],WB4[SQ002],WB4[SQ003],WB4[SQ004],VD000a,VD000,VD001,VD002,VD001[SQ001],VD100a,VD100,VD101,VD102,VD101[SQ001],VD200a,VD200,VD201,VD202,VD201[SQ001],SP4[SQ004],SP4[SQ005],SP4[SQ007],PD1,PD2
1,2021-02-19 17:21:11,105,en,1140478969,2024-03-11 16:35:50,2024-03-11 17:21:11,0,A1,A1,A2,A2,A4,A4,A4,A3,N,A1,A1,,A4,Y,A2,,A2,A4,Y,A1,A1,,A4,A3,A3,A4,A1,26
2,2021-02-20 05:02:24,105,en,1037157520,2024-03-11 16:35:51,2024-03-11 17:21:12,6,A1,A1,A2,A2,A4,A4,A4,A5,Y,A1,A1,,A3,Y,A2,,A2,A2,Y,A2,,A2,A1,A1,A1,A2,A2,30
3,2021-02-20 18:00:01,105,en,1613303645,2024-03-11 16:35:52,2024-03-11 17:21:13,0,A1,A1,A4,A5,A5,A2,A2,A5,N,A1,A1,,A1,N,A1,A1,,A2,N,A2,,A2,A1,A2,A3,A2,A2,27
4,2021-02-21 00:10:35,105,en,582872313,2024-03-11 16:35:53,2024-03-11 17:21:14,3,A2,A2,A3,A3,A4,A4,A4,A2,N,A2,,A2,A4,Y,A1,A1,,A2,Y,A2,,A2,A2,A3,A4,A2,A1,27
5,2021-02-21 20:14:06,105,en,1699421064,2024-03-11 16:35:54,2024-03-11 17:21:15,1,A1,A1,A3,A3,A4,A5,A5,A4,Y,A1,A1,,A1,Y,A2,,A2,A1,Y,A2,,A2,A1,A1,A3,A1,A2,35
6,2021-02-23 19:39:11,105,en,1021337418,2024-03-11 16:35:55,2024-03-11 17:21:16,7,A5,A5,A3,A3,A4,A2,A2,A2,Y,A1,A1,,A2,Y,A1,A1,,A4,Y,A1,A1,,A1,A2,A2,A4,A2,31
7,2021-02-23 22:29:33,105,en,1355274180,2024-03-11 16:35:56,2024-03-11 17:21:17,1,A1,A1,A2,A1,A5,A5,A5,A5,Y,A2,,A2,A4,Y,A1,A1,,A3,Y,A2,,A2,A3,A2,A3,A3,A1,26
8,2021-02-24 14:54:01,105,en,763642228,2024-03-11 16:35:57,2024-03-11 17:21:18,6,A1,A1,A4,A2,A5,A4,A4,A4,Y,A2,,A2,A2,Y,A1,A1,,A2,Y,A2,,A2,A1,A2,A1,A2,A1,31
9,2021-02-25 16:21:15,105,en,401535947,2024-03-11 16:35:58,2024-03-11 17:21:19,5,A1,A3,A4,A4,A1,A1,A1,A1,Y,A1,A1,,A6,Y,A1,A1,,A4,N,A2,,A2,A4,A2,A5,A3,A2,30
10,2021-02-25 16:21:15,105,en,401535947,2024-03-11 16:35:59,2024-03-11 17:21:20,5,A1,A3,A4,A4,A1,A1,A1,A1,Y,A1,A1,,A6,Y,A1,A1,,A4,N,A2,,A2,A4,A2,A5,A3,A2,30
